No.,Designation,Quantity,Length - raw,Width - raw,Thickness - raw,Length - final,Width - final,Thickness - final,Area - final,Material,Instance names,Description,Tags,Edge length 1,Edge length 2,Edge width 1,Edge width 2
A,MAIN_CAB_LF_END_SCRIBE,1,"97 1/2""","22""","3/4""","97 1/2""","22""","3/4""",14.8958 ft²,CLEAF_CARBONE,"","","","","","",""
B,MAIN_CAB_RT_END,1,"97 1/2""","19 3/4""","3/4""","97 1/2""","19 3/4""","3/4""",13.3724 ft²,CLEAF_CARBONE,"","","","","","",""
C,MAIN_CAB_DIVIDER,1,"68 1/2""","19 3/4""","3/4""","68 1/2""","19 3/4""","3/4""",9.3950 ft²,CLEAF_CARBONE,"","","","","","",""
D,UPPER_CAB_DOOR,2,"42 1/2""","12 1/2""","3/4""","42 1/2""","12 1/2""","3/4""",3.6892 ft²,CLEAF_CARBONE,"","","","","","",""
E,MAIN_CAB_TandB,2,"36 1/8""","19 3/4""","3/4""","36 1/8""","19 3/4""","3/4""",4.9546 ft²,CLEAF_CARBONE,"","","","","","",""
F,CUBBIE_BOTTOM,1,"36 1/8""","19 3/4""","3/4""","36 1/8""","19 3/4""","3/4""",4.9546 ft²,CLEAF_CARBONE,"","","","","","",""
G,CUBBIE_MIDDLE,1,"25 3/8""","19 3/4""","3/4""","25 3/8""","19 3/4""","3/4""",3.0276 ft²,CLEAF_CARBONE,"","","","","","",""
H,CUBBIE_TOP,1,"25 3/8""","19 3/4""","3/4""","25 3/8""","19 3/4""","3/4""",3.4803 ft²,CLEAF_CARBONE,"","","","","","",""
I,LOWER_CAB_DRAWER_FRT,2,"13 3/16""","35 7/8""","3/4""","13 3/16""","35 7/8""","3/4""",3.2854 ft²,CLEAF_CARBONE,"","","","","","",""
J,MAIN_CAB_SHELF,4,"10""","19 3/4""","3/4""","10""","19 3/4""","3/4""",1.3715 ft²,CLEAF_CARBONE,"","","","","","",""
